slide_number,date,disturbance_number
Slide1.PNG,6/3/2022,1
Slide1.PNG,7/14/2022,1
Slide1.PNG,7/14/2022,2
Slide1.PNG,7/14/2022,3
Slide1.PNG,7/18/2022,1
Slide1.PNG,7/18/2022,2
Slide2.PNG,8/27/2022,1
Slide2.PNG,8/27/2022,2
Slide3.PNG,8/27/2022,3
Slide4.PNG,9/10/2022,1
Slide5.PNG,9/10/2022,2
Slide6.PNG,9/17/2022,1
Slide6.PNG,9/17/2022,2
Slide7.PNG,9/25/2022,1
Slide8.PNG,10/1/2022,1
Slide8.PNG,10/1/2022,2
Slide9.PNG,10/1/2022,3
Slide10.PNG,10/5/2022,1
Slide10.PNG,10/5/2022,2
Slide11.PNG,10/15/2022,1
Slide12.PNG,11/2/2022,1
Slide13.PNG,11/9/2022,1
Slide14.PNG,11/9/2022,2
